Country,Subject Descriptor,Units,Scale,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After,
Czech Republic,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"15,601.878","16,625.458","16,831.282","16,970.030","17,463.493","18,596.172","19,657.707","20,326.606","21,430.016","23,042.435","25,271.335","27,708.888","29,931.942","31,035.579","29,493.768","30,556.212","31,664.824","31,948.813","32,446.012","33,764.198","35,679.615","36,806.635","39,288.117","41,560.489","45,519.879","44,823.060","49,943.717","53,448.101","55,206.513","56,686.216",2023,
Denmark,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"12,427.419","13,497.291","14,902.966","15,905.277","17,209.184","18,494.195","19,740.091","20,289.550","21,043.606","22,018.771","23,197.564","24,279.315","25,258.418","25,744.058","27,600.012","28,928.722","30,108.758","31,453.461","32,424.803","33,741.367","35,678.910","36,698.147","37,304.154","38,100.996","40,107.185","42,232.126","45,063.654","46,572.896","47,024.099","44,668.000","45,733.843","47,069.987","47,773.198","49,068.753","50,340.277","51,577.438","53,221.935","55,427.449","57,356.837","60,682.020","62,775.249","70,543.351","76,301.226","80,210.524","83,454.418",2022,
Djibouti,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"2,602.029","2,640.571","2,506.593","2,509.636","2,441.592","2,344.175","2,294.266","2,255.768","2,288.855","2,299.566","2,343.081","2,410.649","2,494.189","2,591.617","2,715.052","2,892.076","3,077.221","3,274.264","3,301.367","3,428.825","3,695.505","3,880.829","4,073.123","4,365.973","4,649.454","4,946.164","5,225.282","5,681.890","6,036.474","6,263.205","6,654.407","7,303.853","7,988.555","8,600.896",2021,
Dominica,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,n/a,"2,173.079","2,411.276","2,579.029","2,794.304","2,934.181","3,216.550","3,516.823","3,939.609","4,101.024","4,501.228","4,733.163","4,938.893","5,164.836","5,276.485","5,549.881","5,826.485","6,055.976","6,354.631","6,466.879","6,767.526","6,914.987","6,828.628","7,411.104","7,848.108","8,153.102","8,802.316","9,622.040","10,513.206","10,461.718","10,675.226","10,990.132","11,154.961","11,202.516","11,807.407","11,469.672","11,890.468","11,588.946","13,051.491","14,290.879","12,505.036","14,212.229","15,995.551","17,265.606","18,390.670",2011,
Dominican Republic,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"2,519.975","2,812.068","2,967.378","3,151.556","3,228.541","3,182.650","3,280.457","3,612.979","3,732.046","3,961.352","3,809.710","3,907.648","4,365.166","4,710.849","4,851.933","5,148.390","5,467.065","5,960.507","6,330.436","6,699.479","7,066.528","7,303.176","7,647.191","7,589.789","7,892.592","8,797.807","9,788.391","10,678.379","11,105.648","11,158.952","12,109.395","12,611.426","13,057.897","13,779.946","14,858.385","15,879.616","16,937.126","17,877.986","19,023.797","20,741.332","20,092.118","23,135.084","25,777.184","27,112.850","28,949.585",2023,
Ecuador,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"3,103.092","3,430.689","3,584.651","3,522.237","3,701.487","3,882.900","3,979.891","3,739.844","4,169.059","4,240.163","4,426.491","4,701.483","4,872.316","4,979.184","5,194.965","5,321.386","5,418.940","5,660.663","5,823.196","5,544.134","5,647.367","5,922.139","6,203.280","6,393.685","6,890.957","7,359.816","7,774.403","7,990.192","8,526.276","8,519.790","8,809.694","9,575.898","10,131.213","10,852.010","11,308.432","11,234.025","11,083.519","11,770.105","12,166.664","12,530.832","11,539.698","13,592.025","15,373.751","16,192.853","16,515.535",2022,
Egypt,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"2,170.144","2,360.617","2,617.817","2,883.125","3,139.622","3,381.628","3,522.618","3,683.234","3,885.787","4,069.126","4,281.869","4,428.048","4,450.407","4,544.338","4,741.258","4,943.556","5,171.918","5,451.980","5,813.045","6,125.592","6,457.169","6,699.163","6,882.962","7,093.870","7,440.463","7,858.184","8,475.096","9,144.370","9,775.031","10,067.393","10,469.188","10,630.601","10,801.247","11,066.123","11,295.056","11,602.855","11,952.822","12,117.554","13,418.954","14,532.979","16,551.424","16,930.470","19,064.082","20,180.861","20,799.054",2023,
El Salvador,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"2,304.797","2,351.762","2,321.399","2,434.828","2,540.710","2,616.300","2,647.053","2,747.538","2,857.671","2,951.609","3,155.187","3,266.089","3,526.128","3,766.212","3,983.266","4,218.346","4,294.120","4,470.082","4,606.687","4,741.706","4,875.260","5,003.882","5,141.878","5,311.777","5,494.999","5,818.825","6,262.242","6,541.116","6,782.044","6,656.373","6,853.245","7,233.944","7,546.712","7,815.715","8,056.794","8,297.452","8,562.739","8,889.158","9,120.919","9,666.825","9,306.080","10,709.707","11,752.865","12,546.846","13,172.750",2023,
Equatorial Guinea,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,334.935,366.615,369.702,372.800,362.914,398.196,378.674,390.578,402.551,401.409,414.282,409.736,539.591,590.115,680.130,847.620,"1,269.715","3,081.478","3,738.122","4,602.685","9,515.063","14,950.062","17,435.190","19,523.214","25,051.652","26,758.667","28,082.972","31,763.839","36,421.575","35,476.124","31,258.975","32,509.194","34,337.269","32,083.480","31,452.117","27,723.820","24,556.627","22,720.409","23,009.456","20,201.904","16,693.918","20,370.660","21,939.960","20,675.690","21,750.628",2015,
Eritrea,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,763.075,889.273,"1,108.653","1,165.564","1,300.056","1,427.599","1,464.681","1,467.558","1,283.819","1,377.767","1,379.654","1,306.346","1,301.405","1,324.660","1,310.104","1,328.822","1,067.665","1,183.070","1,306.466","1,653.294","1,696.833","1,530.668","2,020.603","1,603.317","1,720.680","1,559.463","1,765.072","1,821.279",n/a,n/a,n/a,n/a,n/a,2006,
Estonia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"7,861.007","8,080.677","8,595.968","9,322.555","10,843.908","11,552.113","11,631.485","13,031.697","14,220.139","15,515.872","17,131.177","18,900.842","21,472.630","24,439.440","27,125.447","26,301.385","22,635.502","23,525.454","25,915.894","27,465.933","28,525.396","30,047.031","30,881.846","32,130.211","34,506.668","37,121.032","40,586.344","40,666.157","45,054.589","47,655.811","47,127.950","48,008.040",2023,
Eswatini,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"1,588.307","1,795.880","1,868.461","1,864.969","1,912.394","1,942.267","2,269.965","2,473.619","2,665.235","2,936.498","3,249.365","3,326.019","3,423.581","3,529.259","3,610.169","3,783.630","3,921.933","4,036.872","4,148.964","4,291.275","4,424.294","4,529.602","4,757.741","4,994.429","5,267.038","5,707.013","6,180.726","6,571.984","6,704.394","6,801.733","7,094.235","7,350.505","7,835.534","8,218.378","8,379.776","8,585.967","8,699.317","8,972.762","9,081.196","9,528.422","9,510.048","10,679.871","11,374.090","12,232.255","12,963.227",2017,
Ethiopia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,367.381,392.669,409.260,444.598,435.702,385.503,417.755,472.095,475.946,476.485,490.563,454.876,409.616,459.619,470.197,493.766,554.114,563.384,531.041,557.203,609.384,652.256,655.936,638.245,713.537,807.639,904.764,"1,004.557","1,101.204","1,187.910","1,296.098","1,439.382","1,555.198","1,695.206","1,854.273","2,017.419","2,148.870","2,353.893","2,471.908","2,659.167","2,870.372","3,102.763","3,461.319","3,783.947","4,045.132",2022,
Fiji,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"2,971.518","3,365.816","3,444.595","3,343.745","3,734.305","3,649.631","3,932.322","3,725.031","3,985.308","4,624.485","5,034.932","5,024.119","5,408.742","5,636.098","6,002.704","6,249.998","6,606.981","6,500.423","6,587.626","7,200.458","7,196.353","7,472.201","7,777.322","7,935.246","8,536.187","8,634.643","9,036.798","9,114.751","9,375.691","9,241.097","9,581.037","9,990.744","10,269.046","10,896.346","11,655.317","12,240.627","12,604.710","13,310.275","13,626.824","13,505.507","11,410.522","10,807.749","13,787.209","15,266.481","16,002.615",2020,
Finland,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"9,995.540","11,044.626","12,027.953","12,810.488","13,620.164","14,476.792","15,118.614","15,995.905","17,377.220","18,916.928","19,587.200","18,967.121","18,643.039","18,838.602","19,913.152","21,104.518","22,199.197","23,954.160","25,470.004","26,899.895","29,026.442","30,405.926","31,316.130","32,505.528","34,627.150","36,586.713","39,089.360","42,110.285","43,065.966","39,638.998","41,197.438","42,861.116","42,787.214","42,887.378","43,229.816","43,670.461","45,091.092","47,277.069","49,270.069","52,311.043","53,337.577","57,425.707","62,249.359","63,558.656","64,657.338",2023,
France,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"11,030.534","12,150.186","13,136.603","13,743.685","14,413.399","15,045.545","15,633.398","16,352.266","17,629.498","19,057.383","20,212.354","21,067.798","21,748.115","22,068.896","23,003.214","23,984.443","24,674.123","25,651.161","26,754.337","27,922.978","29,618.654","30,632.093","31,235.431","31,945.929","33,407.096","34,875.545","36,741.338","38,427.306","39,056.204","38,020.907","39,005.251","40,601.828","41,249.770","42,122.014","43,069.392","43,711.461","44,329.600","46,036.968","48,036.424","52,925.444","51,249.728","55,824.593","61,168.640","63,880.888","65,940.409",2023,
Gabon,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"7,947.470","8,171.654","8,837.942","9,166.110","9,747.836","10,410.307","10,173.077","8,629.841","9,047.824","10,619.865","11,335.191","12,047.557","11,579.889","12,030.527","12,432.817","12,999.818","13,383.131","14,044.024","14,337.361","12,916.956","12,644.675","12,885.191","12,790.111","12,940.935","13,109.960","13,087.542","12,910.949","13,689.822","13,675.617","12,954.096","13,423.587","14,135.027","14,599.492","15,077.581","15,459.394","15,688.786","15,763.971","15,761.197","16,586.908","17,385.296","15,952.302","20,623.766","22,485.811","23,345.612","24,128.778",2015,
The Gambia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"1,082.710","1,009.933","1,248.749","1,416.421","1,302.449","1,337.946","1,342.247","1,358.466","1,374.115","1,431.312","1,507.787","1,529.932","1,529.822","1,536.169","1,464.903","1,498.552","1,524.594","1,504.639","1,571.248","1,643.661","1,719.149","1,801.074","1,713.990","1,809.149","1,926.759","1,881.099","1,870.534","1,921.245","2,019.870","2,104.275","2,189.123","1,991.602","2,071.289","2,102.280","2,045.936","2,085.039","2,082.577","2,157.112","2,396.833","2,533.134","2,631.596","2,871.409","3,132.812","3,318.339","3,491.217",2023,
Georgia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,920.107","2,090.896","2,439.738","2,839.312","3,041.098","3,243.052","3,444.661","3,762.672","4,077.467","4,654.580","5,092.839","5,786.594","6,575.654","7,633.390","8,020.620","7,813.253","8,522.217","9,454.664","10,358.464","11,137.826","11,800.116","12,292.160","12,813.996","13,724.766","15,009.736","16,755.191","16,817.378","18,814.285","22,607.120","24,849.107","27,363.366",2023,
Germany,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"12,003.464","13,128.892","13,840.176","14,656.853","15,678.333","16,569.585","17,299.890","17,985.846","19,198.780","20,527.236","22,090.714","23,675.121","24,540.969","24,738.950","25,859.594","26,747.917","27,464.266","28,441.571","29,389.265","30,447.833","32,020.940","33,251.964","33,666.354","34,159.366","35,529.052","37,021.162","39,716.227","42,063.619","43,386.427","41,376.370","43,723.628","46,310.615","47,305.297","48,164.520","49,859.442","50,714.424","51,947.703","54,110.278","56,273.259","59,270.690","58,685.778","62,950.306","67,869.332","69,531.553","70,930.357",2023,
Ghana,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"1,069.710","1,100.537","1,046.156",995.154,"1,054.818","1,132.770","1,199.736","1,281.746","1,380.577","1,465.384","1,538.372","1,627.422","1,698.071","1,778.146","1,834.984","1,905.825","1,984.003","2,083.269","2,158.207","2,231.939","2,194.297","2,271.290","2,354.136","2,462.965","2,603.389","2,784.561","2,966.713","3,098.773","3,365.870","3,500.273","3,625.685","4,116.225","4,439.615","4,730.303","4,838.131","4,875.859","4,977.533","5,361.918","5,739.391","6,219.567","6,265.228","6,844.165","7,448.843","7,746.145","7,975.131",2022,
Greece,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"9,491.498","10,104.867","10,545.995","10,770.949","11,324.889","11,919.394","12,185.600","12,161.480","13,090.184","14,061.000","14,496.770","15,223.641","15,536.254","15,554.417","16,113.279","16,723.025","17,429.984","18,454.275","19,272.544","20,043.609","21,246.037","22,495.970","23,627.752","25,426.160","27,369.582","28,320.484","30,746.468","32,520.830","32,961.766","31,641.996","30,205.392","27,689.491","26,293.668","26,264.520","27,037.827","27,407.789","27,723.049","28,568.958","29,594.694","31,602.312","29,034.041","32,679.886","37,728.587","40,047.873","42,065.720",2023,
Grenada,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"2,305.573","2,513.852","2,703.569","2,814.733","2,956.389","3,184.603","3,479.756","3,919.191","4,231.017","4,618.386","5,025.727","5,262.335","5,300.114","5,261.497","5,411.410","5,593.201","5,903.207","6,265.205","7,052.088","7,620.835","8,155.549","8,146.134","8,481.057","9,403.612","9,599.190","11,243.375","11,098.943","12,066.245","12,377.851","11,644.180","11,740.733","11,890.215","11,868.036","12,242.195","13,272.852","14,165.924","14,726.434","15,577.303","16,507.359","16,943.246","14,768.090","15,690.216","17,937.981","19,358.429","20,305.806",2022,
Guatemala,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"3,162.827","3,397.959","3,393.846","3,351.992","3,403.487","3,402.724","3,387.863","3,506.572","3,678.422","3,876.553","4,047.034","4,195.085","4,371.796","4,511.035","4,651.325","4,837.651","4,943.930","5,113.370","5,282.447","5,425.324","5,550.179","5,712.383","5,887.035","6,024.149","6,246.036","6,516.171","6,934.637","7,425.731","7,668.815","7,608.436","7,778.832","8,120.805","8,368.007","8,671.162","9,056.322","9,354.830","9,537.154","9,845.385","10,250.274","11,079.627","11,271.403","12,166.320","13,386.991","14,158.391","14,791.412",2023,
Guinea,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,076.073","1,080.720","1,076.687","1,092.646","1,102.248","1,129.454","1,163.217","1,214.326","1,248.534","1,292.509","1,332.376","1,388.526","1,458.275","1,479.651","1,525.975","1,587.701","1,639.414","1,749.203","1,808.556","1,744.614","1,792.460","1,882.725","1,979.791","2,040.558","2,099.431","2,146.325","2,342.607","2,566.020","2,718.324","2,970.821","3,189.645","3,580.528","3,890.884","4,156.733","4,321.381",2014,
Guinea-Bissau,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,707.084,754.292,817.375,803.627,860.360,906.691,896.862,951.992,985.203,"1,032.937","1,098.431","1,191.484","1,228.476","1,257.753","1,293.582","1,343.762","1,388.900","1,465.345","1,124.681","1,304.137","1,319.931","1,384.573","1,426.965","1,420.595","1,444.862","1,554.305","1,609.942","1,659.536","1,729.592","1,743.181","1,849.248","1,996.086","1,955.407","2,009.236","2,019.519","2,116.722","2,201.790","2,297.997","2,276.179","2,318.515","2,314.153","2,525.711","2,768.689","2,954.584","3,110.196",2017,
Guyana,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"2,613.593","2,871.149","2,779.472","2,563.793","2,726.061","2,840.073","2,913.064","3,008.724","2,954.970","2,955.196","2,998.291","3,295.646","3,631.241","4,012.121","4,426.912","4,722.068","5,169.734","5,553.691","5,497.775","5,718.753","5,754.062","6,007.200","6,171.144","6,256.742","6,528.910","6,599.904","7,137.776","7,824.794","8,111.433","8,398.624","8,848.688","9,484.512","10,121.128","10,627.377","10,951.644","11,085.731","11,522.480","12,095.585","12,590.932","13,630.708","17,258.773","22,509.125","39,016.926","53,584.551","78,666.763",2022,
Haiti,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"1,715.246","1,863.668","1,889.581","1,899.970","1,937.600","1,978.316","1,987.770","1,992.233","2,049.679","2,063.925","2,088.797","2,146.895","2,105.185","2,007.645","1,774.204","1,953.185","2,033.046","2,085.208","2,115.920","2,165.270","2,195.386","2,200.303","2,222.082","2,308.147","2,302.383","2,408.616","2,485.847","2,629.681","2,706.591","2,836.817","2,665.516","2,813.708","2,834.882","2,960.619","3,016.614","3,075.080","3,113.143","3,200.275","3,080.717","3,057.230","2,971.271","3,004.659","3,122.885","3,132.982","3,038.798",2003,
Honduras,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"1,646.422","1,724.956","1,739.621","1,769.257","1,890.483","1,998.035","2,084.386","2,211.478","2,261.579","2,346.332","2,431.564","2,362.066","2,491.252","2,640.567","2,627.397","2,768.644","2,791.026","2,885.759","2,938.060","2,875.997","3,070.462","3,140.362","3,224.200","3,351.717","3,567.666","3,810.096","4,089.404","4,360.601","4,532.605","4,356.939","4,482.762","4,659.316","4,850.500","4,979.801","5,129.899","5,283.507","5,445.688","5,711.331","5,729.331","5,887.529","5,480.914","6,309.195","6,917.546","7,295.076","7,604.664",2023,
Hong Kong SAR,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"6,607.768","7,714.871","8,299.876","8,989.824","10,093.309","10,354.416","11,598.078","13,358.546","14,857.784","15,640.586","16,772.771","18,129.315","19,456.686","20,763.602","22,041.299","22,483.829","23,144.761","24,554.318","23,132.858","23,851.899","25,972.298","26,631.449","27,511.767","28,748.212","31,931.428","35,158.461","38,417.886","41,803.213","43,355.847","42,352.829","45,407.223","48,183.238","49,486.805","51,602.910","53,639.580","54,999.344","56,203.880","59,088.281","60,614.794","61,118.848","58,612.912","65,988.196","67,440.889","71,627.003","75,406.842",2023,
Hungary,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"6,283.729","7,078.056","7,736.723","8,115.459","8,657.243","8,943.396","9,297.658","9,961.839","10,350.834","10,880.329","10,941.518","9,968.030","9,882.328","10,066.619","10,599.968","11,111.489","11,341.809","11,923.125","12,552.959","13,156.101","14,099.380","15,036.562","16,033.538","17,071.585","18,453.448","19,886.755","21,353.392","22,016.778","22,713.592","21,375.613","21,905.383","22,838.580","23,097.871","23,969.937","25,501.908","26,749.662","27,671.196","29,465.955","31,900.914","35,145.915","34,960.437","38,565.064","43,394.415","44,960.952","46,807.165",2023,
Iceland,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"11,767.197","13,290.557","14,238.602","14,271.654","15,211.404","16,061.608","17,297.582","19,087.132","19,471.053","19,935.947","20,770.038","21,250.262","20,689.057","21,240.130","22,249.484","22,579.394","23,954.998","25,591.512","27,528.853","28,691.079","30,435.295","31,877.027","32,188.440","33,306.857","36,604.692","39,654.356","42,544.434","46,193.045","46,935.322","43,071.873","42,592.152","45,095.231","46,224.661","48,742.578","49,811.824","51,967.281","55,252.854","57,461.212","58,959.285","62,445.341","57,754.297","64,494.530","73,939.850","78,250.289","78,808.044",2023,
India,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,525.894,596.496,640.717,698.386,734.429,779.732,815.005,849.330,943.112,"1,016.101","1,088.893","1,113.957","1,177.137","1,236.697","1,320.264","1,421.442","1,526.662","1,585.165","1,670.287","1,809.978","1,887.370","1,986.707","2,057.444","2,224.294","2,424.178","2,655.356","2,913.145","3,174.395","3,288.308","3,519.405","3,812.002","4,039.199","4,281.486","4,572.709","4,935.502","5,316.103","5,741.261","6,169.499","6,742.708","7,181.522","6,997.360","8,087.994","9,207.162","10,233.445","11,111.708",2013,
Indonesia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"1,108.676","1,280.542","1,363.269","1,447.441","1,582.002","1,662.898","1,783.078","1,909.607","2,073.928","2,305.480","2,556.535","2,832.017","3,035.156","3,299.565","3,565.002","3,874.674","4,205.510","4,427.950","3,845.525","3,885.913","4,124.152","4,309.204","4,508.776","4,749.843","5,050.913","5,428.429","5,820.651","6,268.284","6,767.976","7,029.645","7,462.433","7,940.979","8,456.574","8,954.663","9,439.798","9,873.843","10,335.112","10,932.638","11,621.366","12,236.943","11,929.526","12,947.903","14,446.108","15,553.573","16,542.109",2023,
Iran,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"4,241.316","4,213.506","5,303.459","5,891.988","5,455.761","5,517.856","4,887.339","4,879.726","4,630.584","4,984.536","5,732.984","6,520.128","6,789.073","6,748.638","6,677.772","6,880.493","7,343.717","7,454.671","7,589.742","7,767.140","8,274.631","8,519.948","9,198.535","9,939.515","10,488.917","10,994.787","11,713.818","12,823.953","12,970.655","13,014.598","13,755.922","14,220.902","13,779.996","13,625.979","14,376.280","14,127.202","15,327.154","15,805.786","15,568.857","13,987.376","14,729.120","15,734.664","17,318.121","18,658.141","19,606.813",2022,
Iraq,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"3,869.281","5,931.361","6,060.006","6,437.552","6,578.251","7,086.729","7,192.171","7,545.736","8,074.595","9,135.847","9,748.961","9,540.221","9,813.391","11,204.428","10,939.446","12,859.969","13,062.877","11,181.921","13,380.409","15,053.193","14,766.838","14,756.731",2013,
Ireland,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"8,167.815","9,052.342","9,652.770","9,889.389","10,499.748","11,008.404","11,275.733","11,955.934","12,805.701","14,139.896","15,816.809","16,526.407","17,366.225","18,089.453","19,500.291","21,725.696","23,969.822","26,722.163","29,083.205","32,229.770","35,538.962","37,674.631","39,824.041","41,156.594","44,267.882","47,125.612","49,575.252","52,126.105","49,950.488","47,370.412","48,529.240","50,164.394","50,671.095","52,371.121","57,797.603","71,974.851","72,520.361","80,112.223","85,910.709","91,670.644","97,529.356","116,027.715","131,949.742","126,991.820","127,750.161",2023,
Israel,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"7,629.665","8,683.774","9,186.811","9,589.733","10,026.053","10,614.849","11,041.409","11,967.404","12,620.685","13,076.516","14,024.921","14,283.343","15,112.829","15,640.976","16,665.200","18,161.913","19,104.283","19,662.752","20,187.911","20,637.596","22,307.731","22,338.374","22,215.605","22,571.073","23,837.606","25,178.067","26,924.973","28,822.724","29,779.791","29,622.778","31,065.974","32,843.726","33,649.247","34,974.134","36,228.343","36,664.414","37,904.619","39,487.892","40,206.234","41,369.206","41,200.707","46,530.862","51,999.599","53,810.401","54,446.208",2023,
Italy,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"11,771.030","12,705.308","13,535.492","14,220.175","15,208.123","16,121.401","16,913.488","17,886.940","19,289.360","20,710.471","21,909.073","22,954.989","23,661.983","23,995.792","25,026.078","26,287.439","27,089.152","28,044.773","28,857.675","29,754.507","31,601.744","32,940.016","33,522.934","34,091.986","35,262.374","36,372.472","38,008.630","39,459.175","39,476.581","37,347.160","38,205.620","39,095.938","38,478.711","38,312.485","38,934.793","39,677.359","40,638.216","42,097.133","43,539.369","46,593.584","44,284.674","50,377.310","56,682.063","59,164.515","60,992.864",2023,
Jamaica,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"3,089.368","3,468.975","3,733.273","3,961.292","4,133.929","4,163.128","4,503.743","4,934.832","4,876.133","5,295.162","5,661.517","5,863.174","6,117.485","6,348.298","6,547.770","6,791.760","6,867.755","6,805.248","6,732.245","6,828.586","6,973.054","7,158.368","7,276.685","7,664.807","7,946.509","8,239.438","8,708.739","9,041.741","9,108.207","8,820.713","8,768.961","9,052.770","9,151.103","9,316.085","9,524.825","9,683.173","9,913.649","10,144.014","10,362.742","10,412.425","9,298.400","9,917.426","11,166.521","11,856.177","12,283.257",2019,
Japan,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"8,800.027","9,970.132","10,856.993","11,611.353","12,479.540","13,454.365","14,102.047","15,050.830","16,549.425","17,975.127","19,485.591","20,771.982","21,361.108","21,696.691","22,337.983","23,346.612","24,465.497","25,071.797","24,964.620","25,185.818","26,417.417","27,052.325","27,426.440","28,345.164","29,720.361","31,200.987","32,606.041","33,983.429","34,231.458","32,517.785","34,249.990","34,900.287","36,117.685","37,533.424","38,364.455","39,368.764","40,047.948","41,518.116","42,247.099","42,817.548","42,564.888","44,663.481","48,567.965","51,399.027","53,059.360",2023,
Jordan,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"3,978.393","4,812.043","5,184.022","5,225.136","5,460.280","5,325.545","5,498.734","5,528.705","5,623.388","4,978.377","4,834.162","4,476.357","5,072.676","5,141.603","5,253.220","5,453.077","5,474.343","5,624.512","5,735.887","5,876.295","6,131.295","6,445.445","6,828.192","7,078.298","7,674.941","8,392.323","8,774.344","9,166.308","9,791.540","10,121.597","10,253.763","10,481.513","10,781.548","10,545.068","9,857.833","9,299.528","9,123.083","9,282.611","9,044.510","9,405.461","9,523.548","9,115.022","9,880.029","10,455.864","10,916.507",2023,
Kazakhstan,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"6,828.369","6,402.820","6,114.901","5,776.570","5,986.287","6,312.263","6,359.449","6,647.440","7,473.259","8,687.856","9,687.029","10,760.714","12,026.842","13,486.962","15,228.561","16,839.558","17,515.701","17,370.983","18,600.612","20,118.282","21,216.682","22,524.164","23,552.474","23,660.483","23,759.938","24,789.304","25,997.288","29,767.629","30,164.604","34,233.476","36,660.837","39,463.307","41,366.311",2023,
Kenya,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"1,378.921","1,514.744","1,630.370","1,662.191","1,691.738","1,758.038","1,859.005","1,945.219","2,064.229","2,169.507","2,279.815","2,314.840","2,271.959","2,256.112","2,295.929","2,377.443","2,452.475","2,440.074","2,467.972","2,477.725","2,473.689","2,560.589","2,545.688","2,597.334","2,714.454","2,879.394","3,060.466","3,264.645","3,244.385","3,282.894","3,506.842","3,676.764","3,829.085","3,944.517","4,115.285","4,269.190","4,389.964","4,526.682","4,773.528","5,042.165","5,127.992","5,711.521","6,302.920","6,772.284","7,157.320",2019,
Kiribati,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,932.980,"1,062.657","1,068.748","1,025.938","1,187.321","1,031.784","1,001.413","1,013.980","1,249.718","1,174.461","1,112.609","1,069.959","1,337.418","1,348.413","1,385.551","1,433.035","1,434.118","1,451.323","1,507.182","1,444.107","1,550.015","1,507.433","1,525.039","1,503.075","1,506.458","1,545.430","1,649.203","1,708.426","1,653.354","1,636.832","1,641.291","1,706.999","1,815.416","1,962.802","1,995.537","2,211.373","2,352.164","2,444.097","2,545.460","2,628.959","2,606.314","2,910.010","3,187.120","3,386.612","3,611.797",2022,
